circuit_key,openf1_circuit_short_name,openf1_country_name,openf1_location,candidate_rank,match_score,wikipedia_circuit_name,wikipedia_country,wikipedia_locality,wikipedia_circuit_url,wikipedia_latitude,wikipedia_longitude
2,Silverstone,United Kingdom,Silverstone,1,0.8267,Silverstone Circuit,United Kingdom,Silverstone,https://en.wikipedia.org/wiki/Silverstone_Circuit,52.071,-1.016
2,Silverstone,United Kingdom,Silverstone,2,0.3376,Donington Park,United Kingdom,Castle Donington,https://en.wikipedia.org/wiki/Donington_Park,52.82917,-1.375
2,Silverstone,United Kingdom,Silverstone,3,0.3077,Brands Hatch Circuit,United Kingdom,West Kingsdown,https://en.wikipedia.org/wiki/Brands_Hatch,51.35667,0.2625
2,Silverstone,United Kingdom,Silverstone,4,0.2833,Aintree Motor Racing Circuit,United Kingdom,Aintree,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,53.47694,-2.94056
4,Hungaroring,Hungary,Budapest,1,0.6339,Hungaroring,Hungary,Mogyoród,https://en.wikipedia.org/wiki/Hungaroring,47.58222,19.25111
6,Imola,Italy,Imola,1,0.4561,Autodromo Internazionale Enzo e Dino Ferrari,Italy,Imola,https://en.wikipedia.org/wiki/Imola_Circuit,44.34111,11.71333
6,Imola,Italy,Imola,2,0.3676,Autodromo Nazionale di Monza,Italy,Monza,https://en.wikipedia.org/wiki/Autodromo_Nazionale_di_Monza,45.62056,9.28944
6,Imola,Italy,Imola,3,0.149,Autodromo Internazionale del Mugello,Italy,Scarperia e San Piero,https://en.wikipedia.org/wiki/Autodromo_Internazionale_del_Mugello,43.9975,11.37194
6,Imola,Italy,Imola,4,0.1233,Pescara Circuit,Italy,Pescara,https://en.wikipedia.org/wiki/Pescara_Circuit,42.475,14.15083
7,Spa-Francorchamps,Belgium,Spa-Francorchamps,1,0.5751,Circuit de Spa-Francorchamps,Belgium,Stavelot,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,50.43722,5.97139
7,Spa-Francorchamps,Belgium,Spa-Francorchamps,2,0.1935,Circuit Zolder,Belgium,Heusden-Zolder,https://en.wikipedia.org/wiki/Circuit_Zolder,50.98889,5.25556
