circuit_id,circuit_name,circuit_url,locality,country,circuit_lat,circuit_lon,scraped_at_utc,station_id,station_name,station_country,station_lat,station_lon,station_elevation,distance_km,selection_rule,coverage_notes
aut-dromo-oscar-y-juan-g-lvez,Autódromo Oscar y Juan Gálvez,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez,Buenos Aires,Argentina,-34.6942722,-58.4593472,2026-01-14T09:26:39.870876+00:00,87585,Buenos Aires Observatorio,AR,-34.5833,-58.4833,25,12.533,nearest,
adelaide-street-circuit,Adelaide Street Circuit,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Adelaide,Australia,-34.93056,138.62056,2026-01-14T09:26:39.870876+00:00,94675,Adelaide (West Terrace /  ngayirdapira),AU,-34.9,138.6,47,3.881,nearest,
albert-park-circuit,Albert Park Circuit,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Melbourne,Australia,-37.84972,144.96833,2026-01-14T09:26:39.870876+00:00,94868,St Kilda Harbour RMYS,AU,-37.9,145.0,35,6.244,nearest,
red-bull-ring,Red Bull Ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Spielberg,Austria,47.21972,14.76472,2026-01-14T09:26:39.870876+00:00,11165,Zeltweg,AT,47.2,14.75,677,2.459,nearest,
zeltweg-airfield,Zeltweg Airfield,https://en.wikipedia.org/wiki/Zeltweg_Airfield,Zeltweg,Austria,47.20222,14.74222,2026-01-14T09:26:39.870876+00:00,11165,Zeltweg,AT,47.2,14.75,677,0.638,nearest,
baku-city-circuit,Baku City Circuit,https://en.wikipedia.org/wiki/Baku_City_Circuit,Baku,Azerbaijan,40.3725,49.85333,2026-01-14T09:26:39.870876+00:00,37850,Baku / Chërnyy Gorod,AZ,40.3833,49.85,2,1.234,nearest,
bahrain-international-circuit,Bahrain International Circuit,https://en.wikipedia.org/wiki/Bahrain_International_Circuit,Sakhir,Bahrain,26.0325,50.51056,2026-01-14T09:26:39.870876+00:00,41150,Bahrain International Airport,BH,26.2667,50.65,2,29.528,nearest,
circuit-zolder,Circuit Zolder,https://en.wikipedia.org/wiki/Circuit_Zolder,Heusden-Zolder,Belgium,50.98889,5.25556,2026-01-14T09:26:39.870876+00:00,06465,Schaffen,BE,51.0,5.0667,30,13.275,nearest,
circuit-de-spa-francorchamps,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Stavelot,Belgium,50.43722,5.97139,2026-01-14T09:26:39.870876+00:00,06490,Spa / La Sauveniere,BE,50.4833,5.9167,470,6.422,nearest,
nivelles-baulers,Nivelles-Baulers,https://en.wikipedia.org/wiki/Nivelles-Baulers,Nivelles,Belgium,50.62111,4.32694,2026-01-14T09:26:39.870876+00:00,06449,Charleroi / Gosselies,BE,50.4667,4.45,187,19.246,nearest,
autodromo-jos-carlos-pace,Autodromo José Carlos Pace,https://en.wikipedia.org/wiki/Interlagos_circuit,São Paulo,Brazil,-23.70111,-46.69722,2026-01-14T09:26:39.870876+00:00,83780,Sao Paulo/Congonhas Aeroporto,BR,-23.6167,-46.65,803,10.546,nearest,
aut-dromo-internacional-do-rio-de-janeiro,Autódromo Internacional do Rio de Janeiro,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,Rio de Janeiro,Brazil,-22.97556,-43.395,2026-01-14T09:26:39.870876+00:00,83111,Rio / Jacarepagua,BR,-22.9833,-43.3667,3,3.022,nearest,
circuit-gilles-villeneuve,Circuit Gilles-Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Montreal,Canada,45.50056,-73.5225,2026-01-14T09:26:39.870876+00:00,71612,Montreal McTavish,CA,45.5,-73.58,73,4.482,nearest,
circuit-mont-tremblant,Circuit Mont-Tremblant,https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,Mont-Tremblant,Canada,46.1877056,-74.6099361,2026-01-14T09:26:39.870876+00:00,71376,Saint-Jovite,CA,46.08,-74.56,238,12.579,nearest,
mosport-international-raceway,Mosport International Raceway,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park,Bowmanville,Canada,44.05,-78.67778,2026-01-14T09:26:39.870876+00:00,128HL,Blackstock,CA,44.1,-78.83,291,13.371,nearest,
shanghai-international-circuit,Shanghai International Circuit,https://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai,China,31.33889,121.21972,2026-01-14T09:26:39.870876+00:00,58362,Shanghai,CN,31.4,121.4667,8,24.413,nearest,
bugatti-au-mans,Bugatti Au Mans,https://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,Le Mans,France,47.933,0.233,2026-01-14T09:26:39.870876+00:00,07235,Le Mans,FR,47.9333,0.2,59,2.459,nearest,
charade-circuit,Charade Circuit,https://en.wikipedia.org/wiki/Circuit_de_Charade,Saint-Genès-Champanelle,France,45.74722,3.03889,2026-01-14T09:26:39.870876+00:00,07460,Clermont-Ferrand,FR,45.7833,3.1667,332,10.695,nearest,
circuit-dijon-prenois,Circuit Dijon-Prenois,https://en.wikipedia.org/wiki/Dijon-Prenois,Prenois,France,47.3625,4.89917,2026-01-14T09:26:39.870876+00:00,07280,Dijon,FR,47.2667,5.0833,222,17.497,nearest,
