circuit_key,circuit_short_name,country_name,location,location_variants,years_present
10,Melbourne,Australia,Melbourne,Melbourne,2023|2024|2025
19,Spielberg,Austria,Spielberg,Spielberg,2023|2024|2025
144,Baku,Azerbaijan,Baku,Baku,2023|2024|2025
63,Sakhir,Bahrain,Sakhir,Sakhir,2023|2024|2025
7,Spa-Francorchamps,Belgium,Spa-Francorchamps,Spa-Francorchamps,2023|2024|2025
14,Interlagos,Brazil,São Paulo,São Paulo,2023|2024|2025
23,Montreal,Canada,Montréal,Montréal,2023|2024|2025
49,Shanghai,China,Shanghai,Shanghai,2024|2025
4,Hungaroring,Hungary,Budapest,Budapest,2023|2024|2025
6,Imola,Italy,Imola,Imola,2023|2024|2025
39,Monza,Italy,Monza,Monza,2023|2024|2025
46,Suzuka,Japan,Suzuka,Suzuka,2023|2024|2025
65,Mexico City,Mexico,Mexico City,Mexico City,2023|2024|2025
22,Monte Carlo,Monaco,Monaco,Monaco,2023|2024|2025
55,Zandvoort,Netherlands,Zandvoort,Zandvoort,2023|2024|2025
150,Lusail,Qatar,Lusail,Lusail,2023|2024|2025
149,Jeddah,Saudi Arabia,Jeddah,Jeddah,2023|2024|2025
61,Singapore,Singapore,Marina Bay,Marina Bay,2023|2024|2025
15,Catalunya,Spain,Barcelona,Barcelona,2023|2024|2025
70,Yas Marina Circuit,United Arab Emirates,Yas Island,Yas Island,2023|2024|2025
2,Silverstone,United Kingdom,Silverstone,Silverstone,2023|2024|2025
9,Austin,United States,Austin,Austin,2023|2024|2025
152,Las Vegas,United States,Las Vegas,Las Vegas,2023|2024|2025
151,Miami,United States,Miami,Miami|Miami Gardens,2023|2024|2025
